mean_mag mag_bin_centre luminosity_function no_galaxies V5 V6 V7 V8 V9
-14.717 -14.725 0.038639 13 0.038639 0 0 0 0
-14.659 -14.675 0.015969 5 0.015969 0 0 0 0
-14.611 -14.625 0.024032 7 0.024032 0 0 0 0
-14.57 -14.575 0.011075 3 0.011075 0 0 0 0
-14.529 -14.525 0.03177 8 0.03177 0 0 0 0
-14.475 -14.475 0.051284 12 0.051284 0 0 0 0
-14.422 -14.425 0.032208 7 0.032208 0 0 0 0
-14.376 -14.375 0.044603 9 0.044603 0 0 0 0
-14.323 -14.325 0.021365 4 0.021365 0 0 0 0
-14.288 -14.275 0.034556 6 0.034556 0 0 0 0
-14.22 -14.225 0.043498 7 0.043498 0 0 0 0
-14.168 -14.175 0.033545 5 0.033545 0 0 0 0
-14.137 -14.125 0.0072476 1 0.0072476 0 0 0 0
0 -14.075 0 0 0 0 0 0 0
-14.02 -14.025 0.008481 1 0.008481 0 0 0 0
-13.957 -13.975 0.0091857 1 0.0091857 0 0 0 0
-13.932 -13.925 0.029879 3 0.029879 0 0 0 0
-13.863 -13.875 0.01081 1 0.01081 0 0 0 0
-13.826 -13.825 0.011748 1 0.011748 0 0 0 0
0 -13.775 0 0 0 0 0 0 0
0 -13.725 0 0 0 0 0 0 0
0 -13.675 0 0 0 0 0 0 0
0 -13.625 0 0 0 0 0 0 0
0 -13.575 0 0 0 0 0 0 0
0 -13.525 0 0 0 0 0 0 0
0 -13.475 0 0 0 0 0 0 0
0 -13.425 0 0 0 0 0 0 0
0 -13.375 0 0 0 0 0 0 0
0 -13.325 0 0 0 0 0 0 0
0 -13.275 0 0 0 0 0 0 0
0 -13.225 0 0 0 0 0 0 0
0 -13.175 0 0 0 0 0 0 0
0 -13.125 0 0 0 0 0 0 0
0 -13.075 0 0 0 0 0 0 0
0 -13.025 0 0 0 0 0 0 0
0 -12.975 0 0 0 0 0 0 0
0 -12.925 0 0 0 0 0 0 0
0 -12.875 0 0 0 0 0 0 0
0 -12.825 0 0 0 0 0 0 0
0 -12.775 0 0 0 0 0 0 0
0 -12.725 0 0 0 0 0 0 0
0 -12.675 0 0 0 0 0 0 0
0 -12.625 0 0 0 0 0 0 0
0 -12.575 0 0 0 0 0 0 0
0 -12.525 0 0 0 0 0 0 0
0 -12.475 0 0 0 0 0 0 0
0 -12.425 0 0 0 0 0 0 0
0 -12.375 0 0 0 0 0 0 0
0 -12.325 0 0 0 0 0 0 0
0 -12.275 0 0 0 0 0 0 0
0 -12.225 0 0 0 0 0 0 0
0 -12.175 0 0 0 0 0 0 0
0 -12.125 0 0 0 0 0 0 0
0 -12.075 0 0 0 0 0 0 0
0 -12.025 0 0 0 0 0 0 0
0 -11.975 0 0 0 0 0 0 0
0 -11.925 0 0 0 0 0 0 0
0 -11.875 0 0 0 0 0 0 0
0 -11.825 0 0 0 0 0 0 0
0 -11.775 0 0 0 0 0 0 0
0 -11.725 0 0 0 0 0 0 0
0 -11.675 0 0 0 0 0 0 0
0 -11.625 0 0 0 0 0 0 0
0 -11.575 0 0 0 0 0 0 0
0 -11.525 0 0 0 0 0 0 0
0 -11.475 0 0 0 0 0 0 0
0 -11.425 0 0 0 0 0 0 0
0 -11.375 0 0 0 0 0 0 0
0 -11.325 0 0 0 0 0 0 0
0 -11.275 0 0 0 0 0 0 0
0 -11.225 0 0 0 0 0 0 0
0 -11.175 0 0 0 0 0 0 0
0 -11.125 0 0 0 0 0 0 0
0 -11.075 0 0 0 0 0 0 0
0 -11.025 0 0 0 0 0 0 0
